use_no, field_name, old_value, new_value, error_id
4032421, ACRE_PLANTED, 185, 240, 157812
4032425, ACRE_PLANTED, 178, 185, 157816
4032428, ACRE_PLANTED, 1.85, 2.3, 157819
4032436, ACRE_PLANTED, 185, 240, 157827
4032446, ACRE_PLANTED, 55, 56.25, 157837
4032453, ACRE_PLANTED, 1.85, 2.3, 157844
4032460, ACRE_PLANTED, 185, 240, 157851
4032462, ACRE_PLANTED, 185, 240, 157853
4032467, ACRE_PLANTED, 185, 240, 157858
4032477, ACRE_PLANTED, 2, 4, 157868
4032480, ACRE_PLANTED, 2.5, 4, 157871
4032484, ACRE_PLANTED, 7.37, 11.6, 157875
4032491, ACRE_PLANTED, 1, 5, 157882
4032494, ACRE_PLANTED, 1.85, 2.3, 157885
4032497, ACRE_PLANTED, 1.85, 2.3, 157888
4032501, ACRE_PLANTED, 1.85, 2.3, 157892
4032503, ACRE_PLANTED, 1.85, 2.3, 157894
4027496, ACRE_PLANTED, 16, 16.3, 156002
4027500, ACRE_PLANTED, 9, 24, 156004
4028477, ACRE_PLANTED, 46, 47, 156679
4026924, ACRE_PLANTED, 60, 60.85, 155628
4026926, ACRE_PLANTED, 60, 60.85, 155630
4026927, ACRE_PLANTED, 60, 60.85, 155631
4026933, ACRE_PLANTED, 63.78, 64.77, 155637
4027799, ACRE_PLANTED, 33, 34.83, 156186
